startup_name_in_which_venture_capital_fund_invested,startup_website_url_in_which_venture_capital_fund_invested,startup_solution_in_which_venture_capital_fund_invested,venture_capital_fund_name,venture_capital_fund_website_url,venture_capital_fund_linkedin_url,venture_capital_fund_investment_industries,venture_capital_fund_investment_stages,venture_capital_fund_analyst_name,venture_capital_fund_analyst_linkedin_url
EMCORE Corporation,http://www.emcore.com,"The startup is not solving any user problems as this context is about EMCORE Corporation, a company that supplies fiber optic, ring laser gyro, and MEMS products for the aerospace and defense markets. They are known for their high standards of precision manufacturing, quality, and reliability.",ARCH Venture Partners,https://www.archventure.com/,http://www.linkedin.com/company/antin-infrastructure-partners,Biotechnology and Pharmaceuticals,Late Stage,Weihan Liu,http://www.linkedin.com/in/sarah-quraishi-68a608167
Recuro Health,http://www.recurohealth.com,"Recuro Health's Digital Medical Home™ offers virtual primary and urgent care, behavioral health, and supplemental benefits such as chronic care management and pharmacy services on one platform. The platform is designed to increase member engagement, change health behaviors, and eliminate simple reactive solutions to health problems. Recuro aims to move the healthcare system towards proactive preventative care. The startup also provides access and integration, bringing healthcare to the patient through their app. With this platform, Recuro solves the problems of increased access and convenient virtual care options for treatment and primary care for patients.",ARCH Venture Partners,https://www.archventure.com/,http://www.linkedin.com/company/antin-infrastructure-partners,Biotechnology and Pharmaceuticals,Late Stage,Weihan Liu,http://www.linkedin.com/in/sarah-quraishi-68a608167
Bomi Group,https://www.bomigroup.com,"BOMI Group is a sustainable logistics startup that is solving the problem of providing efficient healthcare logistics solutions. The startup offers various services such as home care services, white gloves services, and a home care tracking and information system. Its vast global network of warehouses, health tech companies, and a global workforce of more than 3000 employees ensures timely delivery of over 1.5 million orders per year to home care patients. BOMI Group's solutions enable healthcare providers to go beyond simple logistics and provide added value to their services. The startup's ultimate mission is to offer logistic support to the healthcare supply chain and design solutions customized to the healthcare sector.",ARCHIMED,https://www.archimed.group/,http://www.linkedin.com/company/anzupartners,"Biopharma Products, Consumer Health, Healthcare IT, In Vitro Diagnostics, Life Science Tools & Biologic Services, MedTech, Pharma Services.",Late Stage,Marie Bozec,http://www.linkedin.com/in/katrina-sample-47a804153
Ad-Tech Medical Instrument Corporation,https://www.adtechmedical.com,"Ad-Tech Medical Instrument Corporation provides leading therapeutic and clinical solutions for surgeons, specialists, researchers, and patients in need of long-term EEG monitoring, brain mapping, SEEG, and brain stimulation for epilepsy and other brain diseases/disorders. Their proprietary designs include various electrodes and related products such as electrode placement kits/accessory placement devices and brain biopsy needles. They use advanced materials and components for their devices and offer ease of use and connectivity with their unique connection systems. Customers can contact them for product availability and distributor information.",ARCHIMED,https://www.archimed.group/,http://www.linkedin.com/company/anzupartners,"Biopharma Products, Consumer Health, Healthcare IT, In Vitro Diagnostics, Life Science Tools & Biologic Services, MedTech, Pharma Services.",Late Stage,Marie Bozec,http://www.linkedin.com/in/katrina-sample-47a804153
Clean Cells,https://www.clean-cells.com,"Clean Cells is a biopharmaceutical company that focuses on providing innovative solutions to the biopharmaceutical industry. The company's core values are trust and benevolence, which they apply in all circumstances. The company offers quality control testing, biosafety testing, purity, identity, potency, and cytotoxicity assays, and also provides products for monoclonal antibodies, vaccines, cell therapy, and gene therapy. Clean Cells has launched a new biopharmaceutical facility in France, which offers extended cell and gene therapy services, additional biologics testing capacity, end-to-end biomanufacturing, and storage. The company aims to be up-to-date with the latest biopharmaceutical innovations and developments and to remain reachable in the biopharma field by attending major conferences and congresses worldwide.",ARCHIMED,https://www.archimed.group/,http://www.linkedin.com/company/anzupartners,"Biopharma Products, Consumer Health, Healthcare IT, In Vitro Diagnostics, Life Science Tools & Biologic Services, MedTech, Pharma Services.",Late Stage,Marie Bozec,http://www.linkedin.com/in/katrina-sample-47a804153
COREALIS Pharma,https://www.corealispharma.com,The startup is not specified in the context.,ARCHIMED,https://www.archimed.group/,http://www.linkedin.com/company/anzupartners,"Biopharma Products, Consumer Health, Healthcare IT, In Vitro Diagnostics, Life Science Tools & Biologic Services, MedTech, Pharma Services.",Late Stage,Marie Bozec,http://www.linkedin.com/in/katrina-sample-47a804153
Polar Design,http://www.polardesign.com,Polar Design offers web development services and is praised for their professionalism and eye-catching designs. They have ready-to-go apps and experienced teams that can create unique interfaces like dashboards and develop portals and extranets that present information securely. The services also include SEO optimization and social media strategies that reduce costs by inviting more electronic interaction between stakeholders. Polar Design provides comprehensive service ranging from understanding clients' needs and requirements to allowing communication about challenging topics effectively.,Arctaris Impact Investors,https://www.arctaris.com/,http://www.linkedin.com/company/apax-partners,-,-,Kritika Chadha,http://www.linkedin.com/in/gjomantas
KORE,https://koresoftware.com/,"KORE aims to empower organizations to automate, centralize, enrich, and act to increase and accelerate performance with intelligence at their fingertips. The startup provides an intelligence platform that connects brands, sports, and entertainment properties directly with fans by humanizing data and insights. KORE's solutions enable teams to identify, evaluate, and optimize partnerships that fit their business objectives with the most robust industry data set, benchmarking tools, and real-time insights that they can confidently activate on. The startup also offers the world's most sophisticated end-to-end sponsorship management system designed to maximize performance and drive stronger partner alignment, which helps teams increase fan engagement, ticket sales, and maximize returns by investing in meaningful interactions. Overall, KORE's solutions help organizations drive efficiencies, deepen collaboration, and engagement, while maximizing partnership performance.",Arrowroot Capital Management,https://www.arrowrootcapital.com/,http://www.linkedin.com/company/aquiline-capital-partners,Software,"Seed, Series A, Series B, Series C, Late Stage",Taiczar Armstrong,http://www.linkedin.com/in/eros-georgiou-b836991b0
Tulip,https://www.tulip.com/,"Tulip is a startup that aims to revolutionize retail by enabling hyper-personalization for customers. They offer a Store Experience Platform with an omnichannel Point of Sale and Clienteling solution, as well as tools for store fulfillment, runner, and intelligent staff scheduling. Tulip's goal is to provide outstanding retail experiences that strengthen the relationship between customers and brands, in line with the needs of the customers, and to help retailers create more curated offers to fulfill market needs by using technology. The startup emphasizes the importance of putting people first and getting to know individuals at every level of the organization to build an ecosystem around the way modern retailers want to work. Overall, Tulip aims to set a new standard for omnichannel retail through personalization, expertise, and technology.",Arrowroot Capital Management,https://www.arrowrootcapital.com/,http://www.linkedin.com/company/aquiline-capital-partners,Software,"Seed, Series A, Series B, Series C, Late Stage",Taiczar Armstrong,http://www.linkedin.com/in/eros-georgiou-b836991b0
KeyedIn,https://www.keyedin.com/,"KeyedIn offers project portfolio management software solutions that help organizations to centralize portfolio work regardless of methodology and improve strategic alignment. The platform provides enhanced forecasting and reporting capabilities to bridge the gap between strategy and execution for better results. It also enables making better business decisions with more accurate and up-to-date information, thus allowing organizations to pivot and stay on target. In brief, KeyedIn helps organizations to achieve better portfolio value and outcomes by optimizing prioritization, portfolio analysis, resource capacity planning, and what-if scenario modeling.",Arrowroot Capital Management,https://www.arrowrootcapital.com/,http://www.linkedin.com/company/aquiline-capital-partners,Software,"Seed, Series A, Series B, Series C, Late Stage",Taiczar Armstrong,http://www.linkedin.com/in/eros-georgiou-b836991b0
Leadspace,https://www.leadspace.com/,"Leadspace helps improve the sales and marketing efforts of companies by using curated data sources, buying center hierarchies, and CRM tool integration. The startup provides a Studio that allows sales and marketing teams to analyze Total Addressable Market and Ideal Buyer Profile, creating fit models by unifying data sources and segments with their first-party data to add business context. The Graph, fueled by 30+ of the best third-party B2B data sources, helps segment and score the data to activate segments in sales and marketing tools and ad platforms and analyze the Total Addressable Market, Ideal Buyer Profile, and data health. Leadspace helps save 50% on data with 2x the campaign performance and provides enriched and scored data to supercharge the CRM. The startup aims to help businesses find, create, and prioritize closeable business by providing expert third-party data sources enriched with their first-party data.",Arrowroot Capital Management,https://www.arrowrootcapital.com/,http://www.linkedin.com/company/aquiline-capital-partners,Software,"Seed, Series A, Series B, Series C, Late Stage",Taiczar Armstrong,http://www.linkedin.com/in/eros-georgiou-b836991b0
Riskonnect,https://riskonnect.com/,"Riskonnect is a startup that aims to solve the problem of managing risk and compliance across an organization, including project risk management, health and safety, enterprise risk management, and policy management. With its platform, users can make decisions with confidence and work together on the best actions. The platform provides a view of risk that users have never seen before, allowing them to prioritize their time. Riskonnect is a powerful tool for engaging decision-makers in the risk management process and building a more mature, transparent organization. Its customers explain best how Riskonnect can transform the way one views risk.",Arrowroot Capital Management,https://www.arrowrootcapital.com/,http://www.linkedin.com/company/aquiline-capital-partners,Software,"Seed, Series A, Series B, Series C, Late Stage",Taiczar Armstrong,http://www.linkedin.com/in/eros-georgiou-b836991b0
Arrowroot,https://arrowrootcapital.com/,"Arrowroot is a growth equity firm that specializes in software investing and offers bespoke growth capital solutions to emerging software companies. They invest globally and offer a broad range of transaction types, including primary growth equity investments, growth-oriented management buyouts, corporate carve-outs, liquidity for founders, management, and/or previous investors, and add-on acquisitions. They have a deep domain expertise and a network of SaaS experts and advisors that can provide excellent resources to their portfolio companies, focusing on alignment with the management teams they partner with, their investors and with one another. Arrowroot provides exceptional insights and understanding of the SaaS business model that can help their portfolio companies position themselves for an exit. Their investment strategy involves targeting opportunities of varying sizes and with a broad range of transaction types and challenges themselves to see opportunity where others don’t.",Arrowroot Capital Management,https://www.arrowrootcapital.com/,http://www.linkedin.com/company/aquiline-capital-partners,Software,"Seed, Series A, Series B, Series C, Late Stage",Taiczar Armstrong,http://www.linkedin.com/in/eros-georgiou-b836991b0
Engage3,https://engage3.com/,"Engage3 is a SaaS company that offers a comprehensive pricing solution to retailers. Their pricing solutions help to optimize the Price Image of retailers, which balances shopper perception with the retailer's desired margins to drive revenue more profitably and protect loyalty. Their systems provide the retail industry with the most complete and accurate view of competitive assortment, pricing, and promotion, thanks to their analytic-ready and harmonized data. They use Nobel Prize-winning models to help retailers measure how customers view their pricing and to link their items to like-items and apply rigorous quality controls. They aim to spend less on price investments while having a greater impact on shopper perception and trips.",Arrowroot Capital Management,https://www.arrowrootcapital.com/,http://www.linkedin.com/company/aquiline-capital-partners,Software,"Seed, Series A, Series B, Series C, Late Stage",Taiczar Armstrong,http://www.linkedin.com/in/eros-georgiou-b836991b0
Arrowroot Capital.,https://arrowrootcapital.com/web-accessibility/,"Arrowroot Capital is committed to providing a website that is accessible to the widest possible audience, regardless of technology or ability. The website follows best practices and standards for accessibility, including W3C accessibility guidelines and Federal Government Section 508 accessibility guidelines. The site includes accessibility features such as skip to content, alternative text detail for images, and captioned videos. It also uses structural markup in four different areas, suitable alt attributes for images, appropriately labeled form controls, and usable static pages without JavaScript. The goal is to make the website user-friendly for all people, including those with disabilities.",Arrowroot Capital Management,https://www.arrowrootcapital.com/,http://www.linkedin.com/company/aquiline-capital-partners,Software,"Seed, Series A, Series B, Series C, Late Stage",Taiczar Armstrong,http://www.linkedin.com/in/eros-georgiou-b836991b0
Firstup,https://firstup.io/,"Firstup is an intelligent communication platform that aims to personalize the employee journey and get insights to improve engagement, productivity, and retention. It helps companies to build and share strategies with personalized communication, leads to a stronger sense of belonging, and creates a better work environment for all. Firstup's continuous engagement plan enhances productivity by providing meaningful engagement for employees. Companies can also use Firstup's engagement insights to address weak areas that need support, and reduce digital overload for a more sustainable workforce. In general, Firstup provides solutions for improving employee engagement, productivity, retention, and digital wellness.",Arrowroot Capital Management,https://www.arrowrootcapital.com/,http://www.linkedin.com/company/aquiline-capital-partners,Software,"Seed, Series A, Series B, Series C, Late Stage",Taiczar Armstrong,http://www.linkedin.com/in/eros-georgiou-b836991b0
Aspen Capital Funding.,https://www.aspencapitalfunding.com/,"Aspen Capital Funding is a private portfolio mortgage lender and real estate capital source that specializes in fast, structured, real estate-based financing and non-performing loan purchases for commercial properties throughout the United States. They offer more responsive and creative financing options compared to traditional institutions, and are known for their flexibility and speed. The company aims to be expert partners to its clients and maintains reliable service.",Aspen Capital,https://www.aspencapital.com/,http://www.linkedin.com/company/archimed---investors-in-healthcare,Real Estate,-,Amy Grable,http://www.linkedin.com/in/marie-bozec-3b05a9a7
Thetis Asset Management.,http://www.thetisasset.com/,"Thetis Asset Management aims to solve the problem of providing individualized expertise to real estate investors and companies. They offer services like REIT and Trust Company Management, Real Property Management Services and Individualized Asset Acquisition Services, using their own proprietary analytics, specially developed software and highly skilled & experienced staff to cater to the specific needs of their clients. Their goal is to provide personalized solutions to their clients for their real estate investments.",Aspen Capital,https://www.aspencapital.com/,http://www.linkedin.com/company/archimed---investors-in-healthcare,Real Estate,-,Amy Grable,http://www.linkedin.com/in/marie-bozec-3b05a9a7
Thetis Asset Management.,https://www.thetisasset.com/,"Thetis Asset Management offers individualized expertise in Real Estate Investment Trust (REIT) and Trust Company Management, Real Property Management Services, and Individualized Asset Acquisition Services. They have their own proprietary analytics, specially developed software, and experienced staff to provide personalized solutions for real estate investors and companies. For clients who need assistance in managing and acquiring real estate assets, Thetis Asset Management could be a valuable partner in achieving their business and investment goals. They can be contacted through their provided phone number or their office address.",Aspen Capital,https://www.aspencapital.com/,http://www.linkedin.com/company/archimed---investors-in-healthcare,Real Estate,-,Amy Grable,http://www.linkedin.com/in/marie-bozec-3b05a9a7
Gregory Funding LLC.,http://www.gregoryfunding.com,"The startup, Gregory, aims to provide mortgage loan borrowers with the tools and resources to easily manage their mortgage loan. They offer a convenient autopay service for peace of mind and have a paperless option to make their communication digital. Their goal is to empower borrowers with the right information at the right time to make managing their mortgage simple and stress-free. Through their online tools, borrowers can access what they need when they need it. The startup also provides financial assistance and transparent answers for payment or hardship assistance.",Aspen Capital,https://www.aspencapital.com/,http://www.linkedin.com/company/archimed---investors-in-healthcare,Real Estate,-,Amy Grable,http://www.linkedin.com/in/marie-bozec-3b05a9a7
Ajax Funding,http://www.ajaxfunding.com,"Ajax Funding is a lending startup that provides loans ranging from $500,000 to $5,000,000 for commercial properties intended for business purposes. Their team has a combined experience of 100 years in originating, structuring, and purchasing billions of dollars of loans. Ajax Funding offers loans suited for borrowers with limited credit who require flexibility, speed and do not meet the current bank or lender guidelines. Their goal is to partner with borrowers and help them launch their next projects. Ajax Funding has a website with contact information and a contact form to fill in for those interested in their services.",Aspen Capital,https://www.aspencapital.com/,http://www.linkedin.com/company/archimed---investors-in-healthcare,Real Estate,-,Amy Grable,http://www.linkedin.com/in/marie-bozec-3b05a9a7
Asset Management Company,https://amcfamilyoffice.com/contact,"The context describes the location of the Asset Management Company, which is situated in Suite 601 on the 6th floor of the building located at 2000 University Avenue in East Palo Alto, California. The context provides directions to the company from San Jose and San Francisco via 101 North and South respectively. Additionally, parking directions are given as soon as you turn into University Circle. A phone number and fax number are provided for contacting the company. The copyright information and website credits are also mentioned in the context.",Asset Management Company,https://www.amcfamilyoffice.com/,http://www.linkedin.com/company/archon-capital,-,-,David Belle,http://www.linkedin.com/in/marc-pana-2216488
PureLynx,https://purelynx.com,"Startup aims to solve the problem of small businesses, not-so-small businesses, and non-profits who need help in creating and maintaining a strong online presence. They provide a full-service firm that offers web design, SEO, hosting, custom development, graphic design, social media services, and email marketing. They help businesses to increase website traffic, build a brand, create a professional website, manage website edits, and reach clients through email marketing. Their goal is to be an extension of their client's web marketing team and provide creative WordPress solutions to match the client's branding and business.",Asset Management Company,https://www.amcfamilyoffice.com/,http://www.linkedin.com/company/archon-capital,-,-,David Belle,http://www.linkedin.com/in/marc-pana-2216488
Johnson Family Foundation,https://amcfamilyoffice.com/philanthropy/,"The Johnson Family Foundation aims to improve the lives of underserved children and adults through youth development, educational programs, the arts, economic development, higher education, and entrepreneurial training programs. They use an innovative approach to philanthropy which combines principles of investing with traditional grant-making to invest in people and not just programs. The foundation seeks out potential grantees and does not accept unsolicited proposals. The Johnson Family Foundation is led by founder Pitch Johnson and his family who believe in giving back to the community they grew up in. They devote substantial resources and assets to various educational, cultural, and community institutions as part of their philanthropic efforts.",Asset Management Company,https://www.amcfamilyoffice.com/,http://www.linkedin.com/company/archon-capital,-,-,David Belle,http://www.linkedin.com/in/marc-pana-2216488
WISE Digital Partners,https://www.wisedigitalpartners.com/nest-by-wise/,"The startup Wise Digital helps businesses achieve their digital marketing goals by providing superior and proprietary website platform called NEST and a team of marketing experts. They aim to solve the problem of businesses not being able to find the right marketing partner that understands their industry and business, create a great custom design, and develop messaging and copy that stands out. They offer ongoing monthly support and their website platform is secure and fast mobile-friendly that will last for years. They also take care of SEO, blogging, and paid media services to drive more traffic. Their goal is to grow their clients' business by providing a unified strategy and comprehensive marketing strategy to get in front of the people they want to be serving.",Assurance Capital,https://www.assurancecapitalfunds.com/,http://www.linkedin.com/company/arctaris-impact-investors-llc,"Private Equity, Mezzanine Fund","Control Equity, Private Debt",Austin Lee,http://www.linkedin.com/in/kritika-chadha
Monarch Tractor,https://www.monarchtractor.com/,"Monarch Tractor is a startup that aims to reduce emissions and increase profits while meeting consumer demand for cleaner farming practices. They offer an electric, autonomous and smart tractor, the MK-V, that allows farmers to maximize their savings and reduce their emissions. The tractor provides 360° situational awareness and real-time alerts to ensure maximum visibility and quick action. Monarch Tractor's advanced technology goes beyond clean and efficient farming practices, prioritizing both planet and profit. They help farmers adapt to future challenges, increasing food security and farm profitability while bringing the environmental benefit to another level of sustainable farming.",At One Ventures,https://www.atoneventures.com/,http://www.linkedin.com/company/arrowroot-capital,"Biotechnology, Agriculture, Environmental Services, Energy","Seed, Series A, Series B, Series C, Late Stage",Alisha Jani,http://www.linkedin.com/in/taiczar-armstrong-6737ab232
"Cuby Technologies, Inc.",https://www.cubytechnologies.com/,"Cuby aims to solve the problems faced by the construction industry, including unprecedented skilled labor shortage, unpredictable costs and delays, lack of transparency and control over materials and methods, inefficient coordination among parties, and end products that do little to excite consumers due to lackluster design and quality. Additionally, buildings and construction account for 39% of the total global emissions, prompting the need for more eco-friendly and sustainable practices. Cuby's turnkey, transportable factories and lean manufacturing techniques near the construction site aim to reduce construction costs by more than 40%, shrink project delivery time by 50%, and reduce the ecological footprint of buildings by 90%, all while improving project predictability and construction quality.",At One Ventures,https://www.atoneventures.com/,http://www.linkedin.com/company/arrowroot-capital,"Biotechnology, Agriculture, Environmental Services, Energy","Seed, Series A, Series B, Series C, Late Stage",Alisha Jani,http://www.linkedin.com/in/taiczar-armstrong-6737ab232
Startup name: Halo Car,https://halo.car/,"Halo.car aims to solve the problem of inconvenience and time-consuming rental processes by offering rental cars that are delivered to the customer's location in Las Vegas, except the airport. The service saves customers' time by not having to wait in line for a rental and returns are made easier as the company picks up the vehicle after the rental period. Delivery is available through remote pilot technology and customers have unlimited mileage with the vehicle that is rented. Eventually, their goal is to deliver vehicles to customers autonomously.",At One Ventures,https://www.atoneventures.com/,http://www.linkedin.com/company/arrowroot-capital,"Biotechnology, Agriculture, Environmental Services, Energy","Seed, Series A, Series B, Series C, Late Stage",Alisha Jani,http://www.linkedin.com/in/taiczar-armstrong-6737ab232
Climax Foods,https://www.climaxfoods.com/,"Climax Foods is solving the problem of limited options for delicious, dairy-free cheese. They use a plant intelligence platform to create a new generation of plant-based foods that are lower in cost to both consumers and the environment, while still maintaining flavor and texture. Their vegan cheese is high in protein, has better fats and other nutritional properties than dairy cheese, and is uncompromising in taste and nutrition. By using machine learning algorithms, their innovation process takes weeks instead of decades. They aim to offer a true zero compromise product that is enjoyed in social events with a slight element of surprise.",At One Ventures,https://www.atoneventures.com/,http://www.linkedin.com/company/arrowroot-capital,"Biotechnology, Agriculture, Environmental Services, Energy","Seed, Series A, Series B, Series C, Late Stage",Alisha Jani,http://www.linkedin.com/in/taiczar-armstrong-6737ab232
Ascend Elements,https://ascendelements.com/,"Ascend Elements is a startup that aims to create a more sustainable future by providing advanced battery recycling materials and services. They use their patented Hydro-to-Cathode™ direct precursor synthesis process to transform discarded batteries and manufacturing scrap into active cathode battery material. They are committed to elevating their customers' material value and streamlining the pursuit of sustainability. They offer full-service logistics, materials tracking, and customer support to maximize their clients' value. With their innovative battery recycling technology, Ascend Elements simplifies the battery supply chain process and helps towards net-zero carbon emissions.",At One Ventures,https://www.atoneventures.com/,http://www.linkedin.com/company/arrowroot-capital,"Biotechnology, Agriculture, Environmental Services, Energy","Seed, Series A, Series B, Series C, Late Stage",Alisha Jani,http://www.linkedin.com/in/taiczar-armstrong-6737ab232
MightyFly.,https://mightyflying.com/,"MightyFly offers a cost-effective and environmentally conscious logistic solution, which saves costs and time for businesses that need a faster, more efficient, and same-day delivery service. They use autonomous hybrid-electric aircraft designed to meet or exceed FAA aviation standards to make each delivery carbon-neutral with a range and payload unprecedented in the industry today. MightyFly aims to change how businesses handle their supply chains by offering an end-to-end autonomous delivery of goods, perishables, and life-saving medical supplies. They also provide a subscription-based service that allows companies, large or small, urban or rural to access same-day delivery services effortlessly, which can be quite challenging using traditional trucks and drivers. MightyFly is actively recruiting passionate, like-minded individuals to help expand and operationalize its fleet.",At One Ventures,https://www.atoneventures.com/,http://www.linkedin.com/company/arrowroot-capital,"Biotechnology, Agriculture, Environmental Services, Energy","Seed, Series A, Series B, Series C, Late Stage",Alisha Jani,http://www.linkedin.com/in/taiczar-armstrong-6737ab232
Helios.,https://project-helios.space/,"Helios has developed a technology called the Helios Cycle to refine iron in an eco-friendly way that results in zero direct emissions, uses 50% less energy, and reduces operating costs by 20%. It is a sustainable solution for decarbonizing the steel industry that can help reduce the steel industry's carbon footprint, which is currently responsible for 10% of humanity's carbon footprint. Helios is a space tech start-up company that aims to provide low-cost propellant to spaceships both on the lunar surface and low earth orbit by reducing space flight costs. Its technology has the potential to provide millions of tons of eco-friendly steel that would be cost-effective.",At One Ventures,https://www.atoneventures.com/,http://www.linkedin.com/company/arrowroot-capital,"Biotechnology, Agriculture, Environmental Services, Energy","Seed, Series A, Series B, Series C, Late Stage",Alisha Jani,http://www.linkedin.com/in/taiczar-armstrong-6737ab232
Endeavour,https://www.alchemietechnology.com/endeavour,"Endeavour Waterless Smart Dyeing is solving the problem of high costs and environmental damage caused by traditional textile dyeing and finishing processes. It offers a digital process for textile dyeing that dramatically reduces energy consumption and eliminates wastewater, making it a more sustainable and eco-friendly option. The process is highly efficient with a throughput of over 1500 m2/hr and drastically reduces operational costs by over 50%. It uses precision color matching and shade control for exceptional quality levels and excellent color consistency. Endeavour Waterless Smart Dyeing is a revolutionary solution that enables on-demand digital dyeing and ensures a low carbon future for the textile industry.",At One Ventures,https://www.atoneventures.com/,http://www.linkedin.com/company/arrowroot-capital,"Biotechnology, Agriculture, Environmental Services, Energy","Seed, Series A, Series B, Series C, Late Stage",Alisha Jani,http://www.linkedin.com/in/taiczar-armstrong-6737ab232
"Roam electric motorcycles and buses, and energy systems.",https://www.roammotors.com/,"Roam aims to solve the problem of sustainable and affordable transportation in Africa by providing electric motorcycles and buses that are cost-effective, low maintenance, and have zero emissions. They also offer energy systems for residential, commercial, and utility use that utilize the latest lithium technology and are flexible and scalable. Their goal is to help reduce costs while also improving performance and reducing the carbon footprint. By offering these solutions, Roam hopes to provide a more sustainable future for Africa's transportation and energy needs.",At One Ventures,https://www.atoneventures.com/,http://www.linkedin.com/company/arrowroot-capital,"Biotechnology, Agriculture, Environmental Services, Energy","Seed, Series A, Series B, Series C, Late Stage",Alisha Jani,http://www.linkedin.com/in/taiczar-armstrong-6737ab232
Wild Earth,https://wildearth.com/,"Wild Earth is a startup that aims to solve the problem of providing complete and balanced nutrition to dogs while using only clean, sustainable, and cruelty-free ingredients. The recipes are developed by veterinarians and food scientists to support the digestion, muscle strength, and skin and coat health of dogs. They use plant-based proteins, such as yeast, sweet potato, spinach, oats, and pumpkin, which offer more protein by weight than traditional dog foods. The food is targeted at dogs who suffer from allergies or food sensitivities, and the company claims 86% of their customers reported health improvements after switching to Wild Earth. In addition, the startup promotes eco-friendliness and sustainability by making their products cruelty-free and using plant-based sources for their ingredients.",At One Ventures,https://www.atoneventures.com/,http://www.linkedin.com/company/arrowroot-capital,"Biotechnology, Agriculture, Environmental Services, Energy","Seed, Series A, Series B, Series C, Late Stage",Alisha Jani,http://www.linkedin.com/in/taiczar-armstrong-6737ab232
Avalo,https://www.avalo.ai/,"This startup aims to solve the problem of food scarcity and the need for sustainable agriculture in a rapidly changing climate. Through their AI-based platform, they use predictive breeding and identify causal genes to create new plant varieties that are better adapted to different environments and that have higher nutritional value. This allows them to foster natural diversity and accelerate crop development to keep up with our growing population and the changing climate. Their goal is to help feed the world while promoting a greener, healthier, and more sustainable future through innovative and cost-effective agricultural practices.",At One Ventures,https://www.atoneventures.com/,http://www.linkedin.com/company/arrowroot-capital,"Biotechnology, Agriculture, Environmental Services, Energy","Seed, Series A, Series B, Series C, Late Stage",Alisha Jani,http://www.linkedin.com/in/taiczar-armstrong-6737ab232
Okra Solar Pty Ltd.,https://okrasolar.com/,"Okra Solar aims to solve the problem of lack of access to electricity for off-grid communities. Their Mesh-Grids offer interconnected solar home systems that provide up to 1.2 kW of productive power per household, and households can interconnect and share excess power. The remote monitoring technology and digitalization of the solution make it sustainable for last-mile communities to manage and operate mini-grids and power productive applications. Okra Solar's goal is to drive electrification in off-grid communities, positively contributing to energy access, better health outcomes, and gender outcomes.",At One Ventures,https://www.atoneventures.com/,http://www.linkedin.com/company/arrowroot-capital,"Biotechnology, Agriculture, Environmental Services, Energy","Seed, Series A, Series B, Series C, Late Stage",Alisha Jani,http://www.linkedin.com/in/taiczar-armstrong-6737ab232
Atland Ventures,https://atlandventures.com/about#atland-team,"Atland Ventures is solving the problem of lack of opportunities for real-world experience in Venture Capital for students at the University of Minnesota-Twin Cities. The student-run Venture Capital firm provides a platform for students to perform investment analysis, due diligence, and investment decision-making, and manage portfolios. The organization leverages the support of experienced venture capitalists in the Twin Cities and thought leadership from University of Minnesota professors. Atland Ventures is also addressing the gap in early-stage funding for disruptive technology companies in the Minnesota community, providing funding and support to these startups. Through this, they aim to foster the entrepreneurial development of the Minnesota community whilst giving students a unique and practical experience.",Atland Ventures,https://www.atlandventures.com/,http://www.linkedin.com/company/ashford-venture-partners,-,"Seed, Series A, Series B, Series C",Adam Clausen,http://www.linkedin.com/in/david-wickard-cfa-40881612
"Vinik Web, LLC.",http://vinikweb.com,"The startup aims to solve the problem of providing relevant and personalized website experience to their users by using cookies on their website. They seek to offer the most relevant experience to their visitors by remembering their preferences and repeat visits. By clicking Accept, users are giving their consent to the use of cookies. The startup also ensures that their users' personal information is not sold by providing an option to opt-out of such activities. Additionally, they offer services such as website design and development to help businesses grow.",Atland Ventures,https://www.atlandventures.com/,http://www.linkedin.com/company/ashford-venture-partners,-,"Seed, Series A, Series B, Series C",Adam Clausen,http://www.linkedin.com/in/david-wickard-cfa-40881612
SnapShyft,https://www.snapshyft.com,"SnapShyft is solving the problem of finding and retaining workers in the foodservice, hospitality, and food production sectors. They provide businesses with fully vetted and experienced workers who can work on-demand, occasionally or as full-time employees. Employers can set their own hourly rates and pay only for the hours worked. They also provide free basic account & pay rates suggestions to help employers find the right candidate. Workers have access to benefits such as health insurance, retirement, and banking, and there are no mark-ups or percentages taken. SnapShyft has a community guideline and screening protocols in place to prevent discrimination and ensure accountability and high standards.",Atland Ventures,https://www.atlandventures.com/,http://www.linkedin.com/company/ashford-venture-partners,-,"Seed, Series A, Series B, Series C",Adam Clausen,http://www.linkedin.com/in/david-wickard-cfa-40881612
Atland Ventures,https://atlandventures.com/investment-thesis/,"Atland Ventures is a United States based venture capital firm that invests in fast-growing startups solving Generation Z's problems. They help entrepreneurs grow their companies not only by providing capital but also by offering a network of intern talent, university resources, VC connections, and a unique perspective. Although they are generalist investors, Atland Ventures has some common themes that guide their investment decisions, such as edtech, consumer social, marketing/adtech, creator economy, health, and wellness, and human and computer interaction. Accordingly, they deploy $25,000 checks into promising companies that are founded by Gen Z or find the solutions to issues that the same demographic is facing.",Atland Ventures,https://www.atlandventures.com/,http://www.linkedin.com/company/ashford-venture-partners,-,"Seed, Series A, Series B, Series C",Adam Clausen,http://www.linkedin.com/in/david-wickard-cfa-40881612
